"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"1796";"32016018004P0";"MEDICINA II";"MEDII";"PARTICULAR";"PRIVADA";2016;"PROFISSIONAL";"3";"SUDESTE";"MG";"UNIFENAS";"ENSINO EM SAÚDE";"MESTRADO PROF.";14;56;0,25;0,25
"1797";"32016018005P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"PARTICULAR";"PRIVADA";2016;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIFENAS";"AGRICULTURA SUSTENTÁVEL";"DOUTORADO";11;7;1,57142857142857;1,57142857142857
"1798";"32018010001P3";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"SUDESTE";"MG";"UFSJ";"FISICA E QUIMICA DE MATERIAIS";"MESTRADO/DOUTORADO";7;36;0,194444444444444;0,194444444444444
"1799";"32018010002P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"SUDESTE";"MG";"UFSJ";"TEORIA LITERARIA E CRITICA DA CULTURA";"MESTRADO";22;72;0,305555555555556;0,305555555555556
"1800";"32018010003P6";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"HISTÓRIA";"MESTRADO";26;53;0,490566037735849;0,490566037735849
"1801";"32018010004P2";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"PROCESSOS SOCIOEDUCATIVOS E PRÁTICAS ESCOLARES";"MESTRADO";35;59;0,593220338983051;0,593220338983051
"1802";"32018010005P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"PSICOLOGIA";"MESTRADO";35;71;0,492957746478873;0,492957746478873
"1803";"32018010006P5";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"ENGENHARIA MECÂNICA";"MESTRADO";22;34;0,647058823529412;0,647058823529412
"1804";"32018010008P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"SUDESTE";"MG";"UFSJ";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";14;30;0,466666666666667;0,466666666666667
"1805";"32018010009P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"SUDESTE";"MG";"UFSJ";"BIOENGENHARIA";"MESTRADO/DOUTORADO";15;36;0,416666666666667;0,416666666666667
